cityState,visits,lat,lon,isCTR
"Raymond, NH",10,43.0361961,-71.1833951,FALSE
"Reston, VA",4,38.9584018,-77.3579743,FALSE
"Rindge, NH",37,42.7511964,-72.0098021,FALSE
"Rochester, NH",6,43.3050631,-70.9753629,FALSE
"Ruther Glen, VA",2,37.9287494,-77.4558151,FALSE
"Salem, NH",14,42.7884226,-71.2008933,FALSE
"Salisbury, MA",2,42.8417577,-70.8606083,FALSE
"Salisbury, NH",5,43.380099,-71.717377,FALSE
"Sandown, NH",4,42.928698,-71.1870053,FALSE
"Saranac Lake, NY",4,44.329497,-74.131279,FALSE
"Schenectady, NY",5,42.8142432,-73.9395687,FALSE
"South Hamilton, MA",2,42.6070387,-70.878661,FALSE
"South Portland, ME",6,43.6414716,-70.2408811,FALSE
"Southwick, MA",7,42.0548167,-72.7703724,FALSE
"Staten Island, NY",2,40.5834557,-74.1496048,FALSE
"Strafford, NH",3,43.3312505,-71.0399927,FALSE
"Sullivan, NH",8,43.0131353,-72.2209182,FALSE
"Suncook, NH",2,43.130638,-71.4531241,FALSE
"Swampscott, MA",5,42.4699241,-70.9171507,FALSE
"Swanzey, NH",2,42.8698041,-72.2817518,FALSE
"Tacoma, WA",2,47.2495798,-122.4398746,FALSE
"Tamworth, NH",4,43.860277,-71.263504,FALSE
"Temple, NH",12,42.818603,-71.851566,FALSE
"Townsend, MA",31,42.6667555,-71.7050718,FALSE
"Tyngsboro, MA",42,42.619195,-71.44378,FALSE
"Waterville, ME",2,44.5520105,-69.6317121,FALSE
"Weare, NH",21,43.094966,-71.73111,FALSE
"Wellesley Hills, MA",2,42.3104264,-71.2770514,FALSE
"West Townsend, MA",4,42.6775885,-71.7403506,FALSE
"Westford, MA",48,42.5792583,-71.4378411,FALSE
"Whitefield, NH",2,44.373441,-71.61026,FALSE
"Wilton, NH",127,42.843419,-71.7350741,FALSE
"Winchester, MA",2,42.4523178,-71.1369982,FALSE
"Windham, NH",30,42.8006441,-71.304229,FALSE
"Windsor, VT",7,43.5480465,-72.5944539,FALSE
"Woburn, MA",4,42.4792618,-71.1522766,FALSE
"Woodbridge, VA",2,38.6581723,-77.2497049,FALSE
Store Location,NA,42.848935,-71.494521,TRUE
