User_Location,User_City,User_State,Review_Rating,review_count,Is_CTR,Lon,Lat
"Medway, MA",Medway,MA,1,1,0,-71.4263,42.15248
"Mendon, MA",Mendon,MA,1,1,0,-71.55328,42.1073
"Milton, MA",Milton,MA,1,1,0,-71.07686,42.25617
"Worcester, MA",Worcester,MA,1,1,0,-71.79555,42.26633
"Chevy Chase, MD",Chevy Chase,MD,1,1,0,-77.07637,38.97122
"Greenbelt, MD",Greenbelt,MD,1,1,0,-76.88056,39.00079
"Rockville, MD",Rockville,MD,1,1,0,-77.15118,39.08196
"Westminster, MD",Westminster,MD,1,1,0,-76.99228,39.57465
"Brighton, MI",Brighton,MI,1,1,0,-83.78518,42.5308
"East Lansing, MI",East Lansing,MI,1,1,0,-84.48378,42.73779
"Grosse Ile Township, MI",Grosse Ile Township,MI,1,1,0,-83.16293,42.10771
"Troy, MI",Troy,MI,1,1,0,-83.15408,42.56238
"Circle Pines, MN",Circle Pines,MN,1,1,0,-93.15442,45.14374
"Rockingham, NC",Rockingham,NC,1,1,0,-79.77435,34.93601
"Cranford, NJ",Cranford,NJ,1,1,0,-74.30629,40.656
"Dover, NJ",Dover,NJ,1,1,0,-74.55868,40.88559
"New Brunswick, NJ",New Brunswick,NJ,1,1,0,-74.44384,40.49477
"Pine Brook, NJ",Pine Brook,NJ,1,1,0,-74.33964,40.86429
"Union City, NJ",Union City,NJ,1,1,0,-74.0247,40.77388
"Las Cruces, NM",Las Cruces,NM,1,1,0,-106.77785,32.30691
"North Las Vegas, NV",North Las Vegas,NV,1,1,0,-115.12228,36.20069
"Bayside, NY",Bayside,NY,1,1,0,-73.78068,40.77731
"Bronx, NY",Bronx,NY,1,1,0,-73.92309,40.826
"Central Islip, NY",Central Islip,NY,1,1,0,-73.21209,40.80227
"Elmont, NY",Elmont,NY,1,1,0,-73.7044,40.70754
"Riverhead, NY",Riverhead,NY,1,1,0,-72.66016,40.95036
"Cincinnati, OH",Cincinnati,OH,1,1,0,-84.45689,39.162
"Youngstown, OH",Youngstown,OH,1,1,0,-80.65079,41.0981
"Sandy, OR",Sandy,OR,1,1,0,-122.25898,45.39644
"Bristol, PA",Bristol,PA,1,1,0,-74.85718,40.09772
"Nashville, TN",Nashville,TN,1,1,0,-86.77816,36.16784
"Boerne, TX",Boerne,TX,1,1,0,-98.72933,29.78956
"Carrollton, TX",Carrollton,TX,1,1,0,-96.89023,32.97555
"Channelview, TX",Channelview,TX,1,1,0,-95.11205,29.77788
"Houston, TX",Houston,TX,1,1,0,-95.36952,29.76078
"San Antonio, TX",San Antonio,TX,1,1,0,-98.49461,29.42458
"Cedar Valley, UT",Cedar Valley,UT,1,1,0,-112.06783,40.39149
"Salt Lake City, UT",Salt Lake City,UT,1,1,0,-111.88822,40.76031
"Alexandria, VA",Alexandria,VA,1,1,0,-77.06981,38.80103
"Cana, VA",Cana,VA,1,1,0,-80.6718,36.58937
"Fairfax, VA",Fairfax,VA,1,1,0,-77.30905,38.84185
"Falls Church, VA",Falls Church,VA,1,1,0,-77.17362,38.88549
"Manassas, VA",Manassas,VA,1,1,0,-77.47086,38.75125
"Mechanicsville, VA",Mechanicsville,VA,1,1,0,-77.37875,37.61302
"Roanoke, VA",Roanoke,VA,1,1,0,-79.94057,37.27152
"Virginia Beach, VA",Virginia Beach,VA,1,1,0,-76.05962,36.75528
"Seattle, WA",Seattle,WA,1,1,0,-122.32945,47.60357
