Country,LATITUDE,LONGITUDE,TOTAL_ORGS,isCTR
RWA,-1.9535900687,30.0605317777,2,0
KNA,17.3020304555,-62.7170093197,2,0
LCA,14.0019734893,-61.0000081804,2,0
VCT,13.1482788279,-61.2120624203,2,0
WSM,-13.8415450424,-171.738641609,2,0
SMR,43.9171500845,12.4666702867,4,0
STP,0.3334021188,6.7333251532,2,0
SAU,24.6408331492,46.7727416573,3,0
SEN,14.715831725,-17.4731301284,3,0
SRB,44.8186454458,20.4679906806,7,0
SYC,-4.616631654,55.4499897856,2,0
SLE,8.4700114125,-13.2342157404,1,0
SGP,1.2930334665,103.855820678,4,0
SVK,48.15001833,17.1169807522,4,0
SVN,46.0552883088,14.5149690335,4,0
SLB,-9.4379942951,159.949765734,2,0
SOM,2.0666813343,45.3666776111,1,0
SOL,9.5600223988,44.0653100167,2,0
ZAF,-33.9200109672,18.4349881578,5,0
KOR,37.5663490998,126.999730997,7,0
ESP,40.4000262645,-3.683351686,6,0
LKA,6.9319657582,79.8577506093,3,0
SDN,15.5880782257,32.5341792386,2,0
SUR,5.8350301299,-55.1670308854,2,0
SWZ,-26.3166507784,31.1333345121,1,0
SWE,59.3507599543,18.0973347328,8,0
CHE,46.9166827587,7.4669754625,8,0
SYR,33.5000339956,36.299995889,3,0
TWN,25.0358333333,121.5683333333,3,0
TJK,38.5600352163,68.7738793527,8,0
TZA,-6.8000125947,39.2683418363,2,0
THA,13.7499992055,100.516644652,4,0
BHS,25.0833901154,-77.3500437843,2,0
GMB,13.4538764603,-16.5917014892,2,0
TGO,6.1319370717,1.2227571194,1,0
TON,-21.1385123567,-175.220564478,2,0
TTO,10.6519970896,-61.5170308854,2,0
TUN,36.8027781362,10.1796780992,3,0
TUR,39.9272385855,32.864391641,7,0
TKM,37.9499949331,58.3832991118,4,0
TUV,-8.516651999,179.216647094,2,0
UGA,0.3166589548,32.5833235257,2,0
UKR,50.433367329,30.5166279691,9,0
ARE,24.4666835724,54.3665933826,2,0
GBR,51.4999947297,-0.1167218439,7,0
USA,38.8995493765,-77.0094185808,8,0
URY,-34.8580415662,-56.1710522884,2,0
UZB,41.311701883,69.2949328195,8,0
VUT,-17.733350404,168.316640584,2,0
VAT,41.9000122264,12.4478083889,3,0
VEN,10.5009985544,-66.9170371924,2,0
VNM,21.0333272491,105.8500142,5,0
YEM,15.3547332957,44.2065933826,2,0
ZMB,-15.4166442679,28.2833275947,2,0
ZWE,-17.8177896944,31.0447094307,3,0
HKG,22.304980895,114.185009317,2,0
