long,lat,name,IND_remit,name_long,isCTR
23.5829558315,-2.8502757111,COD,0,"Congo, Dem. Rep.",0
15.1344617674,-0.8378010872,COG,0,"Congo, Rep.",0
-78.9606849097,21.631751541,CUB,0,Cuba,0
42.498019736,11.7730443955,DJI,0,Djibouti,0
38.6781773422,15.4272756579,ERI,0,Eritrea,0
25.8247283753,58.6436952407,EST,0,Estonia,0
39.5512557929,8.6539991881,ETH,0,Ethiopia,0
11.6877511749,-0.6470481398,GAB,0,Gabon,0
43.4815404198,42.1620186998,GEO,0,Georgia,0
-11.0608537412,10.4482728773,GIN,0,Guinea,0
-15.4318728077,13.4753343587,GMB,0,"Gambia, The",0
-15.1106237517,12.0227043823,GNB,0,Guinea-Bissau,0
10.3660313251,1.64586432,GNQ,0,Equatorial Guinea,0
-41.5001811149,74.770487694,GRL,0,Greenland,0
-90.3694583605,15.699360612,GTM,0,Guatemala,0
-58.9712031086,4.7902253752,GUY,0,Guyana,0
-86.589963838,14.8229470817,HND,0,Honduras,0
16.5661911067,45.016234368,HRV,0,Croatia,0
-72.6580133054,18.9007006918,HTI,0,Haiti,0
79.5937037633,22.9250064074,IND,0,India,1
54.2854514969,32.5189173176,IRN,0,"Iran, Islamic Rep.",0
67.2846086075,48.1916620925,KAZ,0,Kazakhstan,0
74.6204048109,41.5068937132,KGZ,0,Kyrgyz Republic,0
104.8760853253,12.6847286294,KHM,0,Cambodia,0
103.750259895,18.444978089,LAO,0,Lao PDR,0
28.1701052952,-29.6252904937,LSO,0,Lesotho,0
23.8806402758,55.2843194848,LTU,0,Lithuania,0
-8.4204795445,29.8853946983,MAR,0,Morocco,0
28.4104827908,47.2036764261,MDA,0,Moldova,0
21.6978968161,41.6059289308,MKD,0,"Macedonia, FYR",0
-3.5432943395,17.2677720617,MLI,0,Mali,0
19.2861809672,42.7890383314,MNE,0,Montenegro,0
102.9464051863,46.8236825035,MNG,0,Mongolia,0
-10.3263969252,20.2092672064,MRT,0,Mauritania,0
17.1561681262,-22.0997769317,NAM,0,Namibia,0
165.5344746009,-21.2613576125,NCL,0,New Caledonia,0
9.3244293382,17.3455523533,NER,0,Niger,0
7.9951277541,9.5483184182,NGA,0,Nigeria,0
-85.0203185008,12.848190428,NIC,0,Nicaragua,0
69.4139980632,29.9734600255,PAK,0,Pakistan,0
-58.3873878335,-23.2480419463,PRY,0,Paraguay,0
24.9432524946,45.8571010357,ROU,0,Romania,0
-14.5098027859,14.3541399885,SEN,0,Senegal,0
-88.8729031703,13.7260916258,SLV,0,El Salvador,0
45.7267007672,4.7523477565,SOM,0,Somalia,0
20.8196512674,44.2330372036,SRB,0,Serbia,0
-55.9114562995,4.1200080318,SUR,0,Suriname,0
31.3952559021,-26.4898552885,SWZ,0,Swaziland,0
38.5442394196,35.0126142811,SYR,0,Syrian Arab Republic,0
18.5813295253,15.3288673998,TCD,0,Chad,0
0.9964039437,8.4395419547,TGO,0,Togo,0
59.2754302624,39.0912401802,TKM,0,Turkmenistan,0
-61.3303669144,10.4282370892,TTO,0,Timor-Leste,0
35.116901308,39.0683717414,TUR,0,Tunisia,0
-56.0032786665,-32.7809043652,URY,0,Uruguay,0
167.0737512682,-15.5426770576,VUT,0,Vanuatu,0
47.5350447585,15.9132319501,YEM,0,"Yemen, Rep.",0
29.7885483719,-18.9069879479,ZWE,0,Zimbabwe,0
