airport,isDTW,lat,long,flightsDTW,,,,,,,,,,isORD,isYYZ,isMSP,isYWG,name
CWA,0,44.7775993347,-89.6668014526,1,,,,,,,,,,0,0,0,0,Ahe Airport
DAY,0,39.9024009705,-84.2193984985,1,,,,,,,,,,0,0,0,0,Athens Ben Epps Airport
DSM,0,41.5340003967,-93.6631011963,1,,,,,,,,,,0,0,0,0,Alghero-Fertilia Airport
ELM,0,42.1599006653,-76.8916015625,1,,,,,,,,,,0,0,0,0,Cherif Al Idrissi Airport
ERI,0,42.0831270134,-80.1738667488,1,,,,,,,,,,0,0,0,0,Alliance Municipal Airport
ESC,0,45.7226982117,-87.0936965942,1,,,,,,,,,,0,0,0,0,Wainwright Airport
EVV,0,38.0369987488,-87.5324020386,1,,,,,,,,,,0,0,0,0,Aitutaki Airport
FWA,0,40.97850037,-85.19509888,1,,,,,,,,,,0,0,0,0,Enua Airport
GRB,0,44.4850997925,-88.1296005249,1,,,,,,,,,,0,0,0,0,Al-Jawf Domestic Airport
GRR,0,42.88079834,-85.52279663,1,,,,,,,,,,0,0,0,0,Ağrı Airport
GSO,0,36.0978012085,-79.9373016357,1,,,,,,,,,,0,0,0,0,Lengpui Airport
GSP,0,34.8956985474,-82.2189025879,1,,,,,,,,,,0,0,0,0,Arvidsjaur Airport
HPN,0,41.0670013428,-73.7076034546,1,,,,,,,,,,0,0,0,0,Santa Maria Airport
HSV,0,34.6371994019,-86.775100708,1,,,,,,,,,,0,0,0,0,Atka Airport
ILG,0,39.67869949,-75.60649872,1,,,,,,,,,,0,0,0,0,Akiak Airport
IND,0,39.7173,-86.294403,1,,,,,,,,,,0,0,0,0,Asahikawa Airport
ITH,0,42.4910011292,-76.4583969116,1,,,,,,,,,,0,0,0,0,Akhiok Airport
JAX,0,30.4941005707,-81.6878967285,1,,,,,,,,,,0,0,0,0,Auckland International Airport
JFK,0,40.63980103,-73.77890015,1,,,,,,,,,,0,0,0,0,King Salmon Airport
LAN,0,42.7787017822,-84.5874023438,1,,,,,,,,,,0,0,0,0,Anaktuvuk Pass Airport
LEX,0,38.0364990234,-84.6059036255,1,,,,,,,,,,0,0,0,0,Aksu Airport
LIT,0,34.7294006348,-92.2242965698,1,,,,,,,,,,0,0,0,0,Akulivik Airport
MBS,0,43.5329017639,-84.0795974731,1,,,,,,,,,,0,0,0,0,Sittwe Airport
MCI,0,39.2976,-94.713898,1,,,,,,,,,,0,0,0,0,Almaty Airport
MDT,0,40.1935005188,-76.7633972168,1,,,,,,,,,,0,0,0,0,Albany International Airport
MEM,0,35.0424003601,-89.9766998291,1,,,,,,,,,,0,0,0,0,Alicante International Airport
MHT,0,42.932598,-71.435699,1,,,,,,,,,,0,0,0,0,Alta Airport
MKE,0,42.9472007751,-87.8965988159,1,,,,,,,,,,0,0,0,0,Houari Boumediene Airport
MLI,0,41.4485015869,-90.5074996948,1,,,,,,,,,,0,0,0,0,Albany Airport
MQT,0,46.3535995483,-87.395401001,1,,,,,,,,,,0,0,0,0,Waterloo Regional Airport
MSN,0,43.1399002075,-89.3375015259,1,,,,,,,,,,0,0,0,0,San Luis Valley Regional Bergman Field
MSP,0,44.882,-93.221802,1,,,,,,,,,,0,0,0,0,Walla Walla Regional Airport
OKC,0,35.3931007385,-97.6007003784,1,,,,,,,,,,0,0,0,0,Queen Alia International Airport
OMA,0,41.3032,-95.894096,1,,,,,,,,,,0,0,0,0,"Pattimura Airport, Ambon"
ORF,0,36.8945999146,-76.2012023926,1,,,,,,,,,,0,0,0,0,Amsterdam Airport Schiphol
PBI,0,26.6832008362,-80.0955963135,1,,,,,,,,,,0,0,0,0,Ted Stevens Anchorage International Airport
PIA,0,40.6641998291,-89.6932983398,1,,,,,,,,,,0,0,0,0,Cerro Moreno Airport
PIT,0,40.49150085,-80.23290253,1,,,,,,,,,,0,0,0,0,Angoulême-Brie-Champniers Airport
PLN,0,45.57089996,-84.79669952,1,,,,,,,,,,0,0,0,0,Aniak Airport
PVD,0,41.7326011658,-71.4204025269,1,,,,,,,,,,0,0,0,0,Antwerp International Airport (Deurne)
RDU,0,35.8776016235,-78.7874984741,1,,,,,,,,,,0,0,0,0,Andahuaylas Airport
RIC,0,37.5051994324,-77.3197021484,1,,,,,,,,,,0,0,0,0,V.C. Bird International Airport
ROA,0,37.3255,-79.975403,1,,,,,,,,,,0,0,0,0,Anvik Airport
ROC,0,43.1189002991,-77.6724014282,1,,,,,,,,,,0,0,0,0,Andøya Airport
SAT,0,29.533700943,-98.4698028564,1,,,,,,,,,,0,0,0,0,Anadolu Airport
SAV,0,32.12760162,-81.20210266,1,,,,,,,,,,0,0,0,0,Anshan Air Base
SBN,0,41.7086982727,-86.3172988892,1,,,,,,,,,,0,0,0,0,Ancona Falconara Airport
SCE,0,40.8493003845,-77.8487014771,1,,,,,,,,,,0,0,0,0,Aomori Airport
SDF,0,38.1744,-85.736,1,,,,,,,,,,0,0,0,0,Karpathos Airport
SEA,0,47.449001,-122.308998,1,,,,,,,,,,0,0,0,0,Altoona Blair County Airport
SFO,0,37.6189994812,-122.375,1,,,,,,,,,,0,0,0,0,Sultan Abdul Halim Airport
SLC,0,40.7883987427,-111.9779968262,1,,,,,,,,,,0,0,0,0,Nampula Airport
SWF,0,41.5041007996,-74.1047973633,1,,,,,,,,,,0,0,0,0,Alpena County Regional Airport
SYR,0,43.1111984253,-76.106300354,1,,,,,,,,,,0,0,0,0,Antonio Roldan Betancourt Airport
TTN,0,40.2766990662,-74.8134994507,1,,,,,,,,,,0,0,0,0,Faleolo International Airport
TUL,0,36.1983985901,-95.8880996704,1,,,,,,,,,,0,0,0,0,Araraquara Airport
TVC,0,44.7414016724,-85.5821990967,1,,,,,,,,,,0,0,0,0,Anqing Tianzhushan Airport
TYS,0,35.81100082,-83.9940033,1,,,,,,,,,,0,0,0,0,Al Qaisumah/Hafr Al Batin Airport
XNA,0,36.281898,-94.306801,1,,,,,,,,,,0,0,0,0,Aqaba King Hussein International Airport
ABI,0,32.4113006592,-99.6819000244,0,,,,,,,,,,0,0,0,0,Aspen-Pitkin Co/Sardy Field
ABL,0,67.1063,-157.856989,0,,,,,,,,,,0,0,0,0,Amami Airport
ABQ,0,35.040199,-106.609001,0,,,,,,,,,,0,0,0,0,Asosa Airport
ABR,0,45.4491004944,-98.4217987061,0,,,,,,,,,,0,0,0,0,Alice Springs Airport
ABY,0,31.5354995728,-84.1945037842,0,,,,,,,,,,0,0,0,0,Comandante FAP German Arias Graziani Airport
ACK,0,41.25310135,-70.06020355,0,,,,,,,,,,0,0,0,0,Sri Guru Ram Dass Jee International Airport
ACT,0,31.6112995148,-97.2304992676,0,,,,,,,,,,0,0,0,0,Watertown Regional Airport
ACV,0,40.978101,-124.109,0,,,,,,,,,,0,0,0,0,Assiut International Airport
ADK,0,51.8779983521,-176.6459960938,0,,,,,,,,,,0,0,0,0,Austin Bergstrom International Airport
ADQ,0,57.75,-152.4940033,0,,,,,,,,,,0,0,0,0,Araguaína Airport
AET,0,66.5518035889,-152.621994019,0,,,,,,,,,,0,0,0,0,Avalon Airport
AEX,0,31.3274002075,-92.5497970581,0,,,,,,,,,,0,0,0,0,Aniwa Airport
AGN,0,57.503601,-134.585007,0,,,,,,,,,,0,0,0,0,Axum Airport
AGS,0,33.3698997498,-81.9645004272,0,,,,,,,,,,0,0,0,0,Antalya International Airport
AHN,0,33.948600769,-83.3263015747,0,,,,,,,,,,0,0,0,0,Touat Cheikh Sidi Mohamed Belkebir Airport
AIA,0,42.0531997681,-102.804000854,0,,,,,,,,,,0,0,0,0,Batman Airport
AIN,0,70.6380004883,-159.994995117,0,,,,,,,,,,0,0,0,0,Ernesto Cortissoz International Airport
AKB,0,52.22029877,-174.2059937,0,,,,,,,,,,0,0,0,0,Berbera Airport
AKI,0,60.9029006958,-161.231002808,0,,,,,,,,,,0,0,0,0,Barcaldine Airport
AKK,0,56.9387016296,-154.182998657,0,,,,,,,,,,0,0,0,0,L.F. Wade International International Airport
AKN,0,58.67679977,-156.6490021,0,,,,,,,,,,0,0,0,0,Bandar Lengeh Airport
AKP,0,68.13359833,-151.7429962,0,,,,,,,,,,0,0,0,0,Syamsudin Noor Airport
ALO,0,42.5570983887,-92.4002990723,0,,,,,,,,,,0,0,0,0,Val de Cans/Júlio Cezar Ribeiro International Airport
ALS,0,37.434898,-105.866997,0,,,,,,,,,,0,0,0,0,Benina International Airport
ALW,0,46.09489822,-118.288002,0,,,,,,,,,,0,0,0,0,Brest Bretagne Airport
AMA,0,35.219398,-101.706001,0,,,,,,,,,,0,0,0,0,Bethel Airport
ANC,0,61.1744003296,-149.9960021973,0,,,,,,,,,,0,0,0,0,Western Neb. Rgnl/William B. Heilig Airport
ANI,0,61.5816001892,-159.5429992676,0,,,,,,,,,,0,0,0,0,Meadows Field
ANV,0,62.646702,-160.190994,0,,,,,,,,,,0,0,0,0,Bangui M'Poko International Airport
AOO,0,40.29639816,-78.31999969,0,,,,,,,,,,0,0,0,0,Hancock County-Bar Harbor Airport
APF,0,26.1525993347,-81.7752990723,0,,,,,,,,,,0,0,0,0,Woodbourne Airport
ARC,0,68.1147,-145.578995,0,,,,,,,,,,0,0,0,0,Bathurst Airport
ART,0,43.9919013977,-76.021697998,0,,,,,,,,,,0,0,0,0,Frans Kaisiepo Airport
ASE,0,39.22320175,-106.8690033,0,,,,,,,,,,0,0,0,0,Biarritz-Anglet-Bayonne Airport
ATK,0,70.467300415,-157.4360046387,0,,,,,,,,,,0,0,0,0,Kota Kinabalu International Airport
ATY,0,44.91400146,-97.15470123,0,,,,,,,,,,0,0,0,0,Senou Airport
AUG,0,44.3205986023,-69.7973022461,0,,,,,,,,,,0,0,0,0,Bukavu Kavumu Airport
AUK,0,62.6800422668,-164.659927368,0,,,,,,,,,,0,0,0,0,General José Antonio Anzoategui International Airport
AZA,0,33.30780029,-111.6549988,0,,,,,,,,,,0,0,0,0,Benin Airport
BET,0,60.77980042,-161.8379974,0,,,,,,,,,,0,0,0,0,Brno-Tuřany Airport
BFD,0,41.8031005859,-78.6400985718,0,,,,,,,,,,0,0,0,0,Wiley Post Will Rogers Memorial Airport
BFF,0,41.87400055,-103.5960007,0,,,,,,,,,,0,0,0,0,Bosaso Airport
BFI,0,47.5299987793,-122.3020019531,0,,,,,,,,,,0,0,0,0,Presidente Juscelino Kubistschek International Airport
BFL,0,35.43360138,-119.0569992,0,,,,,,,,,,0,0,0,0,Bata Airport
BHB,0,44.45000076,-68.3615036,0,,,,,,,,,,0,0,0,0,Bert Mooney Airport
