prePizzaGate,Review_Date,User_City,User_State,User_Country,Review_Rating,review_count,Is_CTR,Lon,Lat
0,06/29/20,North Las Vegas,NV,United States,1,1,0,-115.12228,36.20069
0,11/20/16,Okemos,MI,United States,1,8,0,-84.43004,42.71545
0,12/06/16,Ontario,CA,United States,1,1,0,-117.6481,34.06457
0,02/25/17,Orlando,FL,United States,1,1,0,-81.37739,28.53823
0,11/23/16,Osaka,,Japan,1,1,0,135.502162,34.69372591
0,11/06/16,Ottawa,,Canada,1,1,0,-75.69116,45.42178
0,11/07/16,Pasadena,CA,United States,1,2,0,-118.14427,34.14745
0,07/13/17,Peoria,IL,United States,1,1,0,-89.58799,40.69236
0,11/22/16,Phoenix,AZ,United States,1,5,0,-112.0758,33.44825
0,11/22/16,Pine Brook,NJ,United States,1,1,0,-74.33964,40.86429
0,11/17/16,Pomona,CA,United States,1,1,0,-117.75004,34.05499
0,11/20/16,Port St. Lucie,FL,United States,1,2,0,-80.36367,27.27481
0,11/26/16,Portland,OR,United States,1,3,0,-122.67563,45.51179
0,09/30/17,Riverhead,NY,United States,1,1,0,-72.66016,40.95036
0,05/21/20,Roanoke,VA,United States,1,1,0,-79.94057,37.27152
0,11/06/16,Rockingham,NC,United States,1,1,0,-79.77435,34.93601
0,11/14/20,Rockville,MD,United States,1,1,0,-77.15118,39.08196
0,11/19/16,Rohnert Park,CA,United States,1,1,0,-122.71017,38.34242
0,11/28/16,Roseville,CA,United States,1,1,0,-121.28403,38.74897
0,01/13/17,Sacramento,CA,United States,1,1,0,-121.49085,38.57944
0,12/04/16,Saint Petersburg,FL,United States,1,1,0,-82.67927,27.77086
0,02/21/20,Salt Lake City,UT,United States,1,1,0,-111.88822,40.76031
0,11/26/16,San Antonio,TX,United States,1,1,0,-98.49461,29.42458
0,11/17/16,San Diego,CA,United States,1,11,0,-117.16171,32.71568
0,11/21/16,San Diego,CA,United States,1,11,0,-117.16171,32.71568
0,11/07/16,San Francisco,CA,United States,1,22,0,-122.41964,37.77712
0,03/31/18,San Jose,CA,United States,1,2,0,-121.88542,37.33865
0,11/27/16,San Luis Obispo,CA,United States,1,1,0,-120.66275,35.28579
0,11/13/16,Sandy,OR,United States,1,1,0,-122.25898,45.39644
0,08/23/20,Santa Paula,CA,United States,1,1,0,-119.05958,34.35215
0,11/28/16,Santiago,,Chile,1,1,0,-70.65002,-33.43722
0,08/09/20,Scottsdale,AZ,United States,1,1,0,-111.92069,33.494
0,11/07/16,Seattle,WA,United States,1,1,0,-122.32945,47.60357
0,11/18/16,Sierra Vista,AZ,United States,1,1,0,-110.27468,31.56942
0,05/11/20,Soquel,CA,United States,1,1,0,-121.95774,36.988
0,05/21/17,Springfield,VA,United States,1,3,0,-77.19166,38.77917
0,11/25/16,Stockbridge,GA,United States,1,1,0,-84.22876,33.54382
0,11/20/16,Stoke-on-Trent,,United Kingdom,1,1,0,-2.17504,53.02993
0,09/02/20,Sun Valley,CA,United States,1,1,0,-118.37035,34.2156
0,11/22/16,Sunnyvale,CA,United States,1,1,0,-122.038,37.37172
0,12/21/18,Tampa,FL,United States,1,1,0,-82.45927,27.94653
0,01/14/17,Tampere,,Finland,1,1,0,23.77182,61.49844
0,02/07/20,Tempe,AZ,United States,1,3,0,-111.93724,33.42551
0,11/13/16,Torquay,,United Kingdom,1,1,0,-3.54373,50.46788
0,11/07/16,Troy,MI,United States,1,1,0,-83.15408,42.56238
0,07/26/19,Tustin,CA,United States,1,1,0,-117.81883,33.74425
0,11/28/16,Union City,NJ,United States,1,1,0,-74.0247,40.77388
0,08/21/20,Upland,CA,United States,1,1,0,-117.65101,34.0994
0,11/10/16,Vancouver,,Canada,1,5,0,-123.11336,49.26038
0,06/03/18,Vancouver,WA,United States,1,5,0,-122.67156,45.63221
0,12/13/16,Virginia Beach,VA,United States,1,1,0,-76.05962,36.75528
0,11/03/16,Washington,DC,United States,1,20,1,-77.03196,38.89037
0,11/06/16,Welsh,LA,United States,1,1,0,-92.82212,30.23218
0,11/11/16,Westlake Village,CA,United States,1,1,0,-118.81875,34.14987
0,01/19/18,Westminster,MD,United States,1,1,0,-76.99228,39.57465
0,01/05/19,Wilmette,IL,United States,1,1,0,-87.70765,42.07568
0,11/21/16,Winder,GA,United States,1,1,0,-83.72244,33.99125
0,06/27/20,Woodside,CA,United States,1,1,0,-122.2531,37.42931
0,11/15/20,Woodstock,GA,United States,1,1,0,-84.51875,34.10291
0,08/11/20,Worcester,MA,United States,1,1,0,-71.79555,42.26633
0,03/23/20,Wurtland,KY,United States,1,1,0,-82.78384,38.55008
0,11/17/16,Youngstown,OH,United States,1,1,0,-80.65079,41.0981
0,09/27/20,,,United States,1,0,0,-99.41461919,39.39870316
